Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),Category
HUBS,"HubSpot, Inc.",476.13,-13.64,-2.78%,1.857M,"7,86,964",24.265B,,Top_Losers
IBN,ICICI Bank Limited,29.18,-0.13,-0.44%,2.606M,4.795M,103.874B,19.58,Undervalued_growth_stocks
IGGRF,IG Group Holdings plc,11,2.26,25.86%,100,7,4.08B,11.58,Top_Gainers
IMMR,Immersion Corporation,10.72,0.11,1.04%,"7,53,094","5,53,482",341.483M,7.77,Undervalued_growth_stocks
INCY,Incyte Corporation,63.66,1.37,2.20%,1.933M,3.626M,12.542B,19.29,Undervalued_growth_stocks
INFY,Infosys Limited,20.4,0.51,2.56%,10.575M,10.079M,84.873B,26.84,Most_active
INTC,Intel Corporation,34.49,0.99,2.96%,62.636M,47.525M,146.819B,35.56,Most_active
INTR,"Inter & Co, Inc.",6.74,0.3,4.66%,"9,27,502","8,65,788",2.958B,32.1,Top_Gainers
IPAR,"Inter Parfums, Inc.",129.43,7.55,6.19%,"2,51,584","1,50,479",4.145B,29.82,Top_Gainers
IREN,Iris Energy Limited,12.31,1.11,9.91%,17.726M,14.366M,2.3B,,"Top_Gainers, Most_active"
ITUB,Itaú Unibanco Holding S.A.,6.19,0,0.00%,11.062M,18.48M,60.615B,9.24,Most_active
JANX,"Janux Therapeutics, Inc.",44.23,1.95,4.61%,"5,45,990","8,18,441",2.293B,,Top_Gainers
JBLU,JetBlue Airways Corporation,6.1,0.2,3.39%,17.43M,11.487M,2.075B,,Most_active
JD,"JD.com, Inc.",28.15,-0.48,-1.68%,11.829M,12.145M,43.899B,12.91,Most_active
JHX,James Hardie Industries plc,33.65,1.48,4.60%,"48,405","74,608",14.518B,29.01,Top_Gainers
JKS,"JinkoSolar Holding Co., Ltd.",23.21,0.31,1.35%,"5,64,964","8,39,759",1.182B,3.29,Undervalued_growth_stocks
JLL,Jones Lang LaSalle Incorporated,225.82,8.36,3.84%,"3,95,674","2,64,893",10.74B,36.25,Top_Gainers
JOBY,"Joby Aviation, Inc.",6.61,0.4,6.44%,14.265M,5.573M,4.683B,,"Top_Gainers, Most_active"
JPM,JPMorgan Chase & Co.,204.94,-2.51,-1.21%,14.72M,9.278M,588.52B,11.43,Most_active
KEY,KeyCorp,15.21,0.08,0.53%,13.828M,12.959M,14.341B,19.5,Most_active
KGC,Kinross Gold Corporation,9.21,0.03,0.33%,14.828M,16.472M,11.32B,25.58,Most_active
KMI,"Kinder Morgan, Inc.",20.19,0.03,0.15%,18.018M,13.297M,44.809B,18.52,Most_active
KVUE,Kenvue Inc.,18.34,0.42,2.34%,11.337M,22.388M,35.118B,23.51,Most_active
KYMR,"Kymera Therapeutics, Inc.",42.3,3.3,8.46%,1.007M,"5,93,361",2.595B,,Top_Gainers
KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",10.62,0.04,0.38%,"2,93,052","4,52,796",1.796B,14.96,Undervalued_growth_stocks
L,Loews Corporation,76.92,0.3,0.39%,"4,61,472","7,42,708",17.031B,11.43,Undervalued_growth_stocks
LAUR,"Laureate Education, Inc.",15.16,0.1,0.66%,"5,14,041","8,02,437",2.352B,18.05,Undervalued_growth_stocks
LCID,"Lucid Group, Inc.",4.25,0.85,25.00%,167.127M,26.324M,9.805B,,Most_active
LEA,Lear Corporation,118.78,1.13,0.96%,"5,10,291","7,83,611",6.745B,12.95,Undervalued_growth_stocks
LEGN,Legend Biotech Corporation,54.37,5.87,12.10%,4.879M,1.202M,9.911B,,Top_Gainers
LFST,"LifeStance Health Group, Inc.",5.33,-0.16,-2.91%,1.499M,1.59M,2.038B,,Top_Losers
LI,Li Auto Inc.,21.28,-0.16,-0.75%,16.354M,8.318M,22.679B,14.38,Most_active
LPG,Dorian LPG Ltd.,39.85,-1.27,-3.09%,"5,29,733","7,18,027",1.698B,5.24,Undervalued_growth_stocks
LRN,"Stride, Inc.",68.58,1.06,1.57%,"4,69,692","6,51,017",2.966B,16.06,Undervalued_growth_stocks
LUV,Southwest Airlines Co.,27.53,0.56,2.08%,16.345M,10.308M,16.475B,43.02,Most_active
LW,"Lamb Weston Holdings, Inc.",78.95,0.02,0.03%,2.072M,1.984M,11.4B,10.51,Undervalued_growth_stocks
LYFT,"Lyft, Inc.",13.11,-0.42,-3.10%,12.359M,13.599M,5.29B,,"Top_Losers, Most_active"
MARA,"Marathon Digital Holdings, Inc.",20.77,1.75,9.20%,53.697M,46.149M,5.873B,12.98,"Top_Gainers, Most_active"
MCHOY,MultiChoice Group Limited,5.98,0.29,5.10%,"1,01,986","10,129",2.54B,,Top_Gainers
MDU,"MDU Resources Group, Inc.",25.3,-0.02,-0.08%,"5,66,820",1.153M,5.158B,10.37,Undervalued_growth_stocks
META,"Meta Platforms, Inc.",498.87,-13.83,-2.70%,19.584M,14.948M,1.265T,28.74,"Top_Losers, Most_active"
MGA,Magna International Inc.,44.45,-0.1,-0.22%,1.032M,1.9M,12.775B,12.59,Undervalued_growth_stocks
MMYT,MakeMyTrip Limited,90.23,3.66,4.23%,"6,52,737","7,42,029",9.906B,51.86,Top_Gainers
MOH,"Molina Healthcare, Inc.",293.35,3.28,1.13%,"4,47,899","5,02,500",17.186B,15.93,Undervalued_growth_stocks
MP,MP Materials Corp.,15.62,0.74,4.97%,2.77M,3.044M,2.582B,,Top_Gainers
MPW,"Medical Properties Trust, Inc.",4.52,0,0.00%,9.726M,16.449M,2.712B,,Most_active
MRVI,"Maravai LifeSciences Holdings, Inc.",8.94,0.34,3.95%,1.684M,2.123M,2.252B,,Top_Gainers
MSFT,Microsoft Corporation,453.55,-1.15,-0.25%,16.178M,18.959M,3.371T,39.37,Most_active
MTCH,"Match Group, Inc.",32.28,0.73,2.31%,6.573M,5.097M,8.576B,14.16,Undervalued_growth_stocks
MTZ,"MasTec, Inc.",107.6,3.69,3.55%,"7,63,850","8,01,593",8.55B,,Top_Gainers
MU,"Micron Technology, Inc.",133.55,3.32,2.55%,19.678M,21.467M,148.086B,,Most_active
MUFG,"Mitsubishi UFJ Financial Group, Inc.",11.07,-0.02,-0.18%,1.201M,2.084M,129.413B,14.38,Undervalued_growth_stocks
NATL,NCR Atleos Corporation,30.05,2.16,7.74%,2.017M,"8,61,524",2.167B,,Top_Gainers
NCLH,Norwegian Cruise Line Holdings Ltd.,19.53,0.44,2.30%,11.604M,13.98M,8.379B,24.11,Most_active
NCLTY,"Nitori Holdings Co., Ltd.",11.11,0.54,5.11%,"51,734","89,091",12.556B,23.64,Top_Gainers
NEP,"NextEra Energy Partners, LP",28.64,1.19,4.34%,1.89M,1.546M,2.679B,21.7,Top_Gainers
NFE,New Fortress Energy Inc.,21.21,0.63,3.06%,2.069M,1.982M,4.349B,9.64,Undervalued_growth_stocks
NIO,NIO Inc.,4.87,0.19,4.06%,50.596M,51.408M,10.165B,,Most_active
NKE,"NIKE, Inc.",73.42,0.03,0.04%,13.896M,13.09M,110.817B,19.68,Most_active
NOK,Nokia Oyj,3.99,0.05,1.27%,12.428M,13.523M,21.971B,24.94,Most_active
NOV,NOV Inc.,18.52,0.16,0.87%,1.927M,2.928M,7.325B,7.47,Undervalued_growth_stocks
NOVT,Novanta Inc.,171.82,6.23,3.76%,"3,26,474","1,38,432",6.167B,89.03,Top_Gainers
NTLA,"Intellia Therapeutics, Inc.",25.79,1.16,4.71%,1.926M,1.623M,2.488B,,Top_Gainers
NTNX,"Nutanix, Inc.",54.28,-2.42,-4.27%,5.245M,2.627M,13.388B,,Top_Losers
NU,Nu Holdings Ltd.,13.41,0.16,1.21%,23.019M,25.834M,64.114B,51.58,Most_active
NVDA,NVIDIA Corporation,129.24,1.84,1.44%,247.608M,408.539M,3.179T,75.58,Most_active
NVST,Envista Holdings Corporation,16.04,-0.7,-4.18%,3.094M,2.409M,2.757B,,Top_Losers
OCSL,Oaktree Specialty Lending Corporation,18.55,-0.05,-0.27%,"5,86,208","5,37,488",1.51B,13.64,Undervalued_growth_stocks
ON,ON Semiconductor Corporation,76.87,2.63,3.54%,5.945M,6.157M,33.072B,15.69,Top_Gainers
OSG,"Overseas Shipholding Group, Inc.",8.49,0,0.00%,15,1.198M,611.543M,10.35,Undervalued_growth_stocks
OSK,Oshkosh Corporation,108.03,1.62,1.52%,"3,32,603","4,67,382",7.065B,10.34,Undervalued_growth_stocks
OTGLY,CD Projekt S.A.,10.06,0.56,5.89%,"55,104","18,572",4.025B,31.44,Top_Gainers
PATH,UiPath Inc.,12.63,0.28,2.27%,10.681M,11.022M,7.234B,,Most_active
PBYI,"Puma Biotechnology, Inc.",3.59,0.15,4.36%,"4,41,184","4,64,101",173.177M,11.22,Undervalued_growth_stocks
PCG,PG&E Corporation,18.12,0.16,0.89%,11.653M,12.885M,47.382B,16.18,Most_active
PCOR,"Procore Technologies, Inc.",67.16,2.28,3.51%,1.51M,1.449M,9.827B,,Top_Gainers
PFE,Pfizer Inc.,28.92,0.26,0.91%,28.153M,36.734M,163.878B,,Most_active
PLTR,Palantir Technologies Inc.,28.07,0.43,1.56%,30.498M,43.203M,62.509B,233.92,Most_active
PLUG,Plug Power Inc.,3.07,0.14,4.78%,45.747M,36.222M,2.28B,,Most_active
PLYA,Playa Hotels & Resorts N.V.,8.47,0,0.00%,"4,60,613","6,01,903",1.128B,17.65,Undervalued_growth_stocks
PRDO,Perdoceo Education Corporation,21.7,0.17,0.79%,"3,22,859","5,31,475",1.424B,9.56,Undervalued_growth_stocks
PROSY,Prosus N.V.,7.52,0.28,3.87%,"43,217",1.151M,91.949B,14.19,Top_Gainers
PSMT,"PriceSmart, Inc.",83.26,3.03,3.78%,"2,46,692","1,51,624",2.552B,20.26,Top_Gainers
PSNY,Polestar Automotive Holding UK PLC,1.01,0.0843,9.11%,14.608M,11.231M,2.131B,,Most_active
PUMP,ProPetro Holding Corp.,8.42,0.03,0.36%,"6,78,820",1.672M,901.268M,12.2,Undervalued_growth_stocks
PVH,PVH Corp.,107.42,-1.46,-1.34%,"6,45,576","8,06,401",6B,9.58,Undervalued_growth_stocks
PYPL,"PayPal Holdings, Inc.",60.27,0.28,0.47%,8.057M,12.064M,63.045B,15.18,Undervalued_growth_stocks
QS,QuantumScape Corporation,8.25,1.19,16.86%,62.795M,7.91M,4.121B,,"Top_Gainers, Most_active"
RBLX,Roblox Corporation,40.53,2.01,5.22%,8.282M,7.531M,25.938B,,Top_Gainers
RDDT,"Reddit, Inc.",73.85,3.56,5.06%,3.497M,3.347M,12.075B,,Top_Gainers
REVG,"REV Group, Inc.",24.9,-0.41,-1.62%,"7,91,694","8,11,617",1.293B,5.86,Undervalued_growth_stocks
RF,Regions Financial Corporation,20.47,-0.24,-1.16%,11.076M,7.437M,18.747B,11.06,Most_active
RGA,"Reinsurance Group of America, Incorporated",212.64,0.9,0.43%,"2,91,454","3,55,059",13.99B,16.5,Undervalued_growth_stocks
